,SEASON_ID,GAME_ID,GAME_DATE,HOME_TEAM,PTS_HOME,MIN_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,AWAY_TEAM,PTS_AWAY,MIN_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WINNING_TEAM,HOME_TEAM_ELO,AWAY_TEAM_ELO
57,22014,21400058,2014-11-05,PHI,89,240,33,77,0.429,8,25,0.32,15,23,0.652,6,32,38,22,12,12,20,18,-2.0,ORL,91,238,39,88,0.443,3,20,0.15,10,12,0.833,14,37,51,14,11,3,24,20,2.0,ORL,1492.08,1494.98
58,22014,21400064,2014-11-05,SAS,94,241,31,69,0.449,5,17,0.294,27,38,0.711,11,39,50,25,7,9,19,15,2.0,ATL,92,239,38,92,0.413,8,25,0.32,8,11,0.727,10,27,37,26,14,5,13,25,-2.0,SAS,1501.64,1498.86
59,22014,21400057,2014-11-05,CHA,96,239,35,82,0.427,5,18,0.278,21,29,0.724,13,36,49,23,4,9,12,24,7.0,MIA,89,241,30,77,0.39,4,22,0.182,25,31,0.806,6,30,36,19,6,4,8,25,-7.0,CHA,1500.11,1501.73
60,22014,21400062,2014-11-05,MIL,86,241,33,89,0.371,3,15,0.2,17,20,0.85,18,32,50,19,10,3,14,28,-9.0,CHI,95,239,34,73,0.466,5,16,0.313,22,30,0.733,7,35,42,24,8,3,16,18,9.0,CHI,1498.6,1504.6
61,22014,21400061,2014-11-05,DET,98,241,32,87,0.368,11,23,0.478,23,33,0.697,19,36,55,17,5,4,8,16,3.0,NYK,95,239,39,90,0.433,9,20,0.45,8,10,0.8,11,32,43,25,3,9,9,23,-3.0,DET,1496.95,1499.48
62,22014,21400059,2014-11-05,BOS,107,240,40,78,0.513,10,26,0.385,17,18,0.944,17,38,55,22,5,3,27,25,-3.0,TOR,110,241,42,87,0.483,7,16,0.438,19,23,0.826,6,18,24,18,11,4,7,18,3.0,TOR,1497.22,1503.45
63,22014,21400063,2014-11-05,WAS,96,265,34,91,0.374,7,17,0.412,21,23,0.913,7,36,43,24,7,7,12,22,2.0,IND,94,265,35,90,0.389,8,27,0.296,16,20,0.8,14,43,57,22,3,9,18,27,-2.0,WAS,1504.65,1495.6
64,22014,21400068,2014-11-05,GSW,121,241,43,74,0.581,15,25,0.6,20,20,1.0,4,35,39,29,7,3,23,22,17.0,LAC,104,240,38,82,0.463,7,19,0.368,21,27,0.778,5,25,30,26,12,2,14,14,-17.0,GSW,1506.41,1501.39
65,22014,21400067,2014-11-05,SAC,131,240,42,76,0.553,8,20,0.4,39,50,0.78,9,31,40,21,8,3,13,30,22.0,DEN,109,241,37,82,0.451,9,28,0.321,26,31,0.839,7,25,32,24,4,5,14,37,-22.0,SAC,1504.42,1496.91
66,22014,21400065,2014-11-05,PHX,91,241,32,69,0.464,8,21,0.381,19,21,0.905,5,30,35,13,11,4,18,20,-11.0,MEM,102,239,40,80,0.5,9,17,0.529,13,17,0.765,8,29,37,25,10,1,16,21,11.0,MEM,1501.43,1507.55
67,22014,21400060,2014-11-05,BKN,91,241,36,82,0.439,8,21,0.381,11,17,0.647,7,35,42,17,6,5,18,22,-7.0,MIN,98,240,37,90,0.411,7,17,0.412,17,22,0.773,13,38,51,22,9,4,11,21,7.0,MIN,1500.12,1500.25
68,22014,21400069,2014-11-06,HOU,98,239,34,72,0.472,10,27,0.37,20,33,0.606,8,36,44,18,7,6,21,20,17.0,SAS,81,240,31,90,0.344,2,20,0.1,17,19,0.895,12,29,41,17,12,1,14,24,-17.0,HOU,1509.62,1500.02
69,22014,21400070,2014-11-06,POR,108,239,40,77,0.519,12,30,0.4,16,19,0.842,12,41,53,25,3,6,17,21,21.0,DAL,87,239,33,90,0.367,5,23,0.217,16,16,1.0,8,26,34,14,6,4,7,17,-21.0,POR,1502.05,1501.62
70,22014,21400075,2014-11-07,BKN,110,240,38,74,0.514,14,24,0.583,20,26,0.769,7,35,42,18,6,6,16,24,11.0,NYK,99,239,37,90,0.411,8,19,0.421,17,21,0.81,15,28,43,22,7,2,14,24,-11.0,BKN,1501.77,1497.95
71,22014,21400076,2014-11-07,DET,98,240,37,75,0.493,11,23,0.478,13,24,0.542,12,28,40,18,7,5,18,24,3.0,MIL,95,240,36,77,0.468,5,20,0.25,18,23,0.783,9,26,35,26,10,6,13,19,-3.0,DET,1498.48,1498.6
72,22014,21400079,2014-11-07,PHX,112,289,42,98,0.429,10,31,0.323,18,25,0.72,9,33,42,19,7,7,12,33,-2.0,SAC,114,291,39,91,0.429,3,16,0.188,33,39,0.846,13,47,60,16,6,4,15,27,2.0,SAC,1499.92,1505.75
73,22014,21400078,2014-11-07,OKC,89,239,37,79,0.468,12,25,0.48,3,11,0.273,10,34,44,16,3,1,17,18,-2.0,MEM,91,239,34,81,0.42,9,18,0.5,14,17,0.824,9,29,38,21,10,4,8,14,2.0,MEM,1495.29,1508.87
74,22014,21400077,2014-11-07,TOR,103,240,35,80,0.438,9,22,0.409,24,31,0.774,10,39,49,19,5,3,13,27,19.0,WAS,84,239,30,83,0.361,3,19,0.158,21,32,0.656,16,34,50,19,7,5,13,29,-19.0,TOR,1505.15,1503.04
75,22014,21400073,2014-11-07,PHI,115,240,43,91,0.473,12,30,0.4,17,25,0.68,17,25,42,29,7,2,12,29,-3.0,CHI,118,241,40,78,0.513,12,24,0.5,26,34,0.765,12,28,40,25,4,6,17,21,3.0,CHI,1490.56,1504.6
76,22014,21400072,2014-11-07,ORL,112,266,46,91,0.505,5,10,0.5,15,19,0.789,12,40,52,19,5,6,21,27,9.0,MIN,103,264,40,93,0.43,4,18,0.222,19,25,0.76,9,29,38,24,9,7,12,22,-9.0,ORL,1496.58,1498.79
77,22014,21400080,2014-11-07,UTA,82,242,29,68,0.426,9,28,0.321,15,19,0.789,9,32,41,19,4,6,21,17,-23.0,DAL,105,241,42,88,0.477,9,24,0.375,12,14,0.857,13,29,42,23,12,3,8,22,23.0,DAL,1496.83,1503.26
78,22014,21400071,2014-11-07,CHA,122,289,48,97,0.495,6,21,0.286,20,27,0.741,11,40,51,31,6,7,19,30,3.0,ATL,119,289,43,93,0.462,13,33,0.394,20,26,0.769,7,31,38,28,8,3,19,33,-3.0,CHA,1501.65,1498.86
79,22014,21400074,2014-11-07,BOS,101,240,39,85,0.459,9,27,0.333,14,16,0.875,9,29,38,26,6,3,12,19,3.0,IND,98,240,40,88,0.455,5,19,0.263,13,13,1.0,14,28,42,18,2,6,13,17,-3.0,BOS,1498.76,1495.6
80,22014,21400081,2014-11-07,DEN,101,242,40,85,0.471,11,29,0.379,10,15,0.667,8,34,42,22,5,5,13,22,-9.0,CLE,110,240,40,84,0.476,6,23,0.261,24,33,0.727,6,36,42,25,5,3,8,14,9.0,CLE,1495.28,1498.39
81,22014,21400085,2014-11-08,MIA,102,242,41,78,0.526,5,13,0.385,15,17,0.882,6,34,40,26,8,2,14,19,10.0,MIN,92,240,35,87,0.402,4,16,0.25,18,23,0.783,17,32,49,13,9,2,16,17,-10.0,MIA,1503.38,1497.27
82,22014,21400082,2014-11-08,LAC,106,239,40,81,0.494,5,12,0.417,21,30,0.7,8,29,37,17,8,4,7,19,4.0,POR,102,240,36,80,0.45,10,25,0.4,20,25,0.8,9,34,43,25,2,3,16,26,-4.0,LAC,1502.94,1500.76
83,22014,21400086,2014-11-08,CHI,101,239,42,92,0.457,8,18,0.444,9,15,0.6,11,27,38,26,5,2,8,16,-5.0,BOS,106,240,42,81,0.519,7,19,0.368,15,20,0.75,7,38,45,25,6,3,12,17,5.0,BOS,1503.03,1500.12
84,22014,21400083,2014-11-08,IND,90,240,33,77,0.429,8,24,0.333,16,25,0.64,8,30,38,11,5,3,18,24,-7.0,WAS,97,241,39,81,0.481,2,11,0.182,17,23,0.739,13,36,49,23,8,4,14,25,7.0,WAS,1494.01,1504.47
85,22014,21400087,2014-11-08,HOU,87,239,30,86,0.349,10,42,0.238,17,21,0.81,16,30,46,13,14,0,22,17,-11.0,GSW,98,239,39,87,0.448,9,28,0.321,11,17,0.647,15,39,54,22,11,8,26,19,11.0,GSW,1507.98,1507.93
86,22014,21400084,2014-11-08,ATL,103,240,33,81,0.407,9,22,0.409,28,36,0.778,12,29,41,18,10,5,8,17,7.0,NYK,96,241,40,84,0.476,8,21,0.381,8,11,0.727,13,31,44,26,2,6,15,29,-7.0,ATL,1500.47,1496.5
